,rateRoll_des,ratePitch_des,rateYaw_des,rateRoll,ratePitch,rateYaw,roll,pitch,yaw,roll_d,pitch_d,yaw_d,T,R,P,Y,vx,vy,vz,z
52,0.0,23.319,-0.0,-6.933,-106.627,37.013,-4.2,29.2,8.9,0.0,0.0,0.0,32767.0,21601.0,32767.0,21353.0,-0.368,-0.028,-1.532,1.037
53,0.0,5.987,-0.0,-20.455,-175.726,41.539,-4.6,27.1,9.2,0.0,0.0,0.0,32767.0,8504.0,32767.0,10369.0,-0.41600000000000004,-0.031,-1.555,1.0210000000000001
54,0.0,0.0,-0.0,-15.527,-223.74,43.086,-4.8,25.0,9.6,0.0,0.0,0.0,32767.0,-6527.0,32767.0,14166.0,-0.453,-0.033,-1.572,1.006
55,0.0,0.0,-0.0,-5.672,-247.002,43.831,-5.0,22.3,9.8,0.0,0.0,0.0,55767.0,-6925.0,32767.0,12449.0,-0.597,-0.045,-1.534,0.999
56,0.0,0.0,-0.0,-1.547,-261.383,49.045,-5.0,19.6,10.2,0.0,0.0,0.0,55767.0,-7749.0,32767.0,18298.0,-0.611,-0.043000000000000003,-1.545,0.983
57,0.0,0.0,-0.0,7.85,-263.732,52.54,-5.0,17.0,10.5,0.0,0.0,0.0,55767.0,-19458.0,32767.0,13146.0,-0.632,-0.041,-1.55,0.968
58,0.0,0.0,-0.0,22.517,-255.883,54.316,-4.8,14.3,10.8,0.0,0.0,0.0,55767.0,-14164.0,32767.0,20201.0,-0.708,-0.042,-1.548,0.9530000000000001
59,0.0,0.0,-0.0,35.294,-235.085,58.957,-4.4,12.1,11.2,0.0,0.0,0.0,55767.0,-29474.0,32767.0,14359.0,-0.639,-0.029,-1.609,0.925
60,0.0,0.0,-0.0,49.217,-205.577,59.473,-4.0,10.3,11.7,0.0,0.0,0.0,55767.0,-19165.0,32767.0,21000.0,-0.65,-0.027,-1.6,0.909
61,0.0,0.0,-0.0,55.405,-183.977,61.421,-3.4,8.4,12.2,0.0,0.0,0.0,55767.0,-19664.0,32767.0,8918.0,-0.723,-0.028,-1.589,0.894
62,0.0,0.0,-0.0,66.578,-173.091,59.588,-2.8,6.4,12.6,0.0,0.0,0.0,55767.0,-32767.0,32767.0,21033.0,-0.729,-0.026000000000000002,-1.58,0.878
63,0.0,0.0,-0.0,72.88,-175.497,62.682,-2.1,4.7,13.1,0.0,0.0,0.0,55767.0,-21888.0,32767.0,5035.0,-0.613,-0.012,-1.666,0.844
64,0.0,0.0,-0.0,79.355,-184.149,59.645,-1.3,2.7,13.7,0.0,0.0,0.0,55767.0,-27938.0,32767.0,22474.0,-0.683,-0.01,-1.6480000000000001,0.8280000000000001
65,0.0,0.0,-0.0,93.564,-193.431,58.9,-0.3,0.7,14.3,0.0,0.0,0.0,55767.0,-29887.0,32767.0,6971.0,-0.673,-0.011,-1.6360000000000001,0.811
66,0.0,0.0,-0.0,99.523,-203.457,57.64,0.6,-1.4,14.6,0.0,0.0,0.0,55767.0,-20149.0,32767.0,14643.0,-0.647,-0.014,-1.621,0.795
67,0.0,0.0,-0.0,89.095,-197.097,53.858,1.4,-3.3,15.2,0.0,0.0,0.0,55767.0,3143.0,32767.0,7081.0,-0.612,-0.001,-1.71,0.759
68,0.0,0.0,-0.0,77.063,-177.789,51.853,2.2,-4.8,15.7,0.0,0.0,0.0,55767.0,-22417.0,32767.0,7457.0,-0.595,-0.002,-1.684,0.742
69,0.0,0.0,-0.0,79.469,-155.558,48.358,3.1,-6.2,16.3,0.0,0.0,0.0,55767.0,-27130.0,32767.0,14524.0,-0.64,-0.006,-1.655,0.726
70,0.0,0.0,-0.0,83.365,-128.916,49.16,4.0,-7.2,16.8,0.0,0.0,0.0,55767.0,-20975.0,32767.0,2278.0,-0.615,-0.013000000000000001,-1.6260000000000001,0.709
71,0.0,0.0,-0.0,77.464,-92.418,44.691,3.9,-7.2,16.7,0.0,0.0,0.0,55767.0,12020.0,6328.0,14731.0,-0.543,-0.015,-1.675,0.679
72,0.0,0.0,-0.0,55.119,-38.388,42.284,5.1,-7.7,17.6,0.0,0.0,0.0,55767.0,13662.0,-12004.0,-3407.0,-0.56,-0.02,-1.6420000000000001,0.662
73,0.0,0.0,-0.0,35.638,12.032,40.852,5.4,-7.3,18.0,0.0,0.0,0.0,55767.0,-6607.0,-26312.0,10636.0,-0.553,-0.029,-1.616,0.646
74,0.0,0.0,-0.0,26.643,36.44,38.503,5.7,-7.0,18.4,0.0,0.0,0.0,55767.0,907.0,-17482.0,6107.0,-0.542,-0.037,-1.577,0.63
75,0.0,0.0,-0.0,16.272,23.778,39.935,5.8,-6.9,18.7,0.0,0.0,0.0,55767.0,4916.0,463.0,9905.0,-0.492,-0.042,-1.613,0.602
76,0.0,0.0,-0.0,2.235,1.948,36.383,5.8,-6.9,19.0,0.0,0.0,0.0,55767.0,13976.0,5784.0,8536.0,-0.47400000000000003,-0.049,-1.583,0.586
77,0.0,0.0,-0.0,-3.61,-7.506,37.873,5.9,-7.0,19.2,0.0,0.0,0.0,55767.0,-9217.0,15231.0,8780.0,-0.432,-0.047,-1.547,0.5700000000000001
78,0.0,0.0,-0.0,6.646,-24.637,37.013,6.1,-7.3,19.7,0.0,0.0,0.0,55767.0,-12487.0,26245.0,13338.0,-0.44,-0.042,-1.5050000000000001,0.555
79,0.0,0.0,-0.0,18.736,-37.529,39.763,6.4,-7.6,20.2,0.0,0.0,0.0,55767.0,-19454.0,25350.0,10785.0,-0.40900000000000003,-0.051000000000000004,-1.5050000000000001,0.533
80,0.0,0.0,-0.0,30.252,-41.425,39.763,6.8,-8.0,20.6,0.0,0.0,0.0,55767.0,-12660.0,17831.0,13871.0,-0.41000000000000003,-0.066,-1.465,0.518
81,0.0,0.0,-0.0,32.258,-35.122,41.711,7.1,-8.2,21.1,0.0,0.0,0.0,55767.0,-9392.0,10006.0,6843.0,-0.391,-0.076,-1.422,0.504
82,0.0,0.0,-0.0,30.94,-23.892,38.789,7.5,-8.2,21.5,0.0,0.0,0.0,55767.0,-6608.0,2499.0,7401.0,-0.376,-0.088,-1.3860000000000001,0.49
83,0.0,0.0,-0.0,28.533,-8.136,37.815,7.8,-8.1,21.9,0.0,0.0,0.0,55767.0,8097.0,-5015.0,8775.0,-0.384,-0.10300000000000001,-1.345,0.47600000000000003
84,0.0,0.0,-0.0,21.772,7.506,33.633,8.0,-7.9,22.2,0.0,0.0,0.0,55767.0,5058.0,-17418.0,16011.0,-0.361,-0.115,-1.326,0.458
85,0.0,0.0,-0.0,13.694,19.423,34.95,8.1,-7.5,22.6,0.0,0.0,0.0,55767.0,-274.0,-15651.0,8045.0,-0.34800000000000003,-0.128,-1.282,0.445
86,0.0,0.0,-0.0,6.761,24.924,34.492,8.2,-7.2,23.0,0.0,0.0,0.0,55767.0,6823.0,-7584.0,11831.0,-0.338,-0.154,-1.24,0.432
87,0.0,0.0,-0.0,-1.261,17.762,36.383,8.1,-7.1,23.3,0.0,0.0,0.0,55767.0,10257.0,-3514.0,6484.0,-0.324,-0.168,-1.2,0.42
88,0.0,0.0,-0.0,-8.594,6.245,35.581,8.0,-7.0,23.8,0.0,0.0,0.0,55767.0,16052.0,5743.0,11928.0,-0.299,-0.177,-1.173,0.406
89,0.0,0.0,-0.0,-15.126,-3.151,36.898,7.9,-6.9,24.1,0.0,0.0,0.0,55767.0,-1033.0,-32.0,3915.0,-0.3,-0.199,-1.131,0.394
90,0.0,0.0,-0.0,-11.688,-0.745,34.607,7.9,-6.8,24.6,0.0,0.0,0.0,55767.0,6922.0,-3887.0,13133.0,-0.28600000000000003,-0.214,-1.087,0.383
91,0.0,0.0,-0.0,-10.485,3.61,36.612,7.8,-6.7,24.9,0.0,0.0,0.0,55767.0,-2449.0,-1373.0,5319.0,-0.28,-0.234,-1.044,0.373
92,0.0,0.0,-0.0,-6.933,2.75,33.575,7.8,-6.6,25.3,0.0,0.0,0.0,55767.0,3156.0,-3633.0,13205.0,-0.266,-0.244,-1.008,0.361
93,0.0,0.0,-0.0,-9.282,2.636,36.44,7.7,-6.5,25.7,0.0,0.0,0.0,55767.0,4557.0,1233.0,5176.0,-0.253,-0.259,-0.965,0.35100000000000003
94,0.0,0.0,-0.0,-10.084,1.203,34.263,7.6,-6.4,26.1,0.0,0.0,0.0,55767.0,6591.0,-5720.0,14053.0,-0.246,-0.28200000000000003,-0.923,0.342
95,0.0,0.0,-0.0,-12.433,6.704,37.643,7.5,-6.2,26.4,0.0,0.0,0.0,55767.0,3091.0,-2669.0,7965.0,-0.232,-0.292,-0.878,0.333
96,0.0,0.0,-0.0,-11.516,9.74,36.268,7.5,-6.0,26.9,0.0,0.0,0.0,55767.0,-427.0,-7676.0,17853.0,-0.219,-0.302,-0.8280000000000001,0.325
97,0.0,0.0,-0.0,-12.032,6.933,40.68,7.4,-5.9,27.3,0.0,0.0,0.0,55767.0,6880.0,-3797.0,4742.0,-0.20800000000000002,-0.325,-0.786,0.317
98,0.0,0.0,-0.0,-7.85,5.844,38.847,7.4,-5.8,27.7,0.0,0.0,0.0,55767.0,3483.0,-407.0,17716.0,-0.19,-0.337,-0.742,0.309
99,0.0,0.0,-0.0,-7.85,0.057,41.654,7.3,-5.7,28.2,0.0,0.0,0.0,55767.0,10464.0,594.0,6506.0,-0.17400000000000002,-0.34500000000000003,-0.6970000000000001,0.302
100,0.0,0.0,-0.0,-8.766,-0.401,41.539,7.3,-5.7,28.7,0.0,0.0,0.0,55767.0,156.0,1771.0,14280.0,-0.166,-0.369,-0.639,0.298
101,0.0,0.0,-0.0,-4.641,-3.094,42.915,7.4,-5.5,29.2,0.0,0.0,0.0,55767.0,-8928.0,-3099.0,7358.0,-0.152,-0.381,-0.595,0.292
102,0.0,0.0,-0.0,0.344,-0.286,44.175,7.4,-5.5,29.6,0.0,0.0,0.0,55767.0,3448.0,-2320.0,13187.0,-0.148,-0.404,-0.552,0.28600000000000003
103,0.0,0.0,-0.0,-2.177,0.573,44.118,7.3,-5.4,30.1,0.0,0.0,0.0,55767.0,5896.0,-2105.0,11862.0,-0.131,-0.40900000000000003,-0.508,0.281
104,0.0,0.0,-0.0,-6.704,1.432,46.811,7.3,-5.2,30.7,0.0,0.0,0.0,55767.0,7324.0,-5222.0,11460.0,-0.112,-0.422,-0.447,0.28
105,0.0,0.0,-0.0,-8.48,8.308,46.18,7.3,-5.0,31.1,0.0,0.0,0.0,55767.0,5221.0,-5251.0,15746.0,-0.101,-0.444,-0.404,0.275
106,0.0,0.0,-0.0,-8.881,14.324,48.873,7.2,-4.8,31.5,0.0,0.0,0.0,55767.0,1303.0,-11058.0,6189.0,-0.088,-0.455,-0.363,0.271
107,0.0,0.0,-0.0,-10.657,15.355,47.555,7.1,-4.6,32.1,0.0,0.0,0.0,55767.0,4777.0,-6515.0,19455.0,-0.074,-0.459,-0.321,0.268
108,0.0,0.0,-0.0,-18.277,18.335,50.134,6.9,-4.3,32.6,0.0,0.0,0.0,55767.0,6044.0,-10509.0,9098.0,-0.054,-0.482,-0.265,0.268
109,0.0,0.0,-0.0,-22.231,18.793,50.764,6.7,-4.0,33.0,0.0,0.0,0.0,55767.0,6572.0,-12296.0,18656.0,-0.044,-0.489,-0.225,0.265
110,0.0,0.0,-0.0,-20.054,23.033,51.738,6.6,-3.7,33.6,0.0,0.0,0.0,55767.0,10524.0,-16842.0,9792.0,-0.026000000000000002,-0.492,-0.184,0.263
111,0.0,0.0,-0.0,-24.293,25.038,52.884,6.3,-3.4,34.1,0.0,0.0,0.0,55767.0,8538.0,-11966.0,14631.0,-0.013000000000000001,-0.512,-0.14400000000000002,0.262
112,0.0,0.0,-0.0,-27.617,22.804,54.03,6.0,-3.1,34.7,0.0,0.0,0.0,55767.0,15470.0,-13783.0,12499.0,-0.002,-0.52,-0.077,0.266
